Material,Year,Month,Total Emissions (kgCO2e)
Cotton,2020,1,148.6
Cotton,2020,2,89.0
Cotton,2020,3,48.2
Cotton,2020,4,127.6
Cotton,2020,5,64.0
Cotton,2020,6,86.2
Cotton,2020,8,15.9
Cotton,2020,9,197.3
Cotton,2020,11,133.9
Cotton,2020,12,118.3
Cotton,2021,1,120.3
Cotton,2021,2,72.2
Cotton,2021,4,96.5
Cotton,2021,5,116.7
Cotton,2021,6,77.4
Cotton,2021,7,52.0
Cotton,2021,8,55.5
Cotton,2021,9,194.4
Cotton,2021,10,40.9
Cotton,2021,11,125.1
Cotton,2021,12,86.0
Cotton,2022,1,85.5
Cotton,2022,2,15.9
Cotton,2022,4,25.7
Cotton,2022,5,187.3
Cotton,2022,6,144.4
Cotton,2022,7,126.0
Cotton,2022,8,297.8
Cotton,2022,9,44.6
Cotton,2022,10,200.5
Cotton,2022,11,189.8
Cotton,2022,12,242.8
Cotton,2023,1,70.2
Cotton,2023,2,277.9
Cotton,2023,3,150.6
Cotton,2023,4,110.3
Cotton,2023,5,13.8
Cotton,2023,6,151.2
Cotton,2023,7,66.5
Cotton,2023,8,193.6
Cotton,2023,9,120.9
Cotton,2023,10,163.7
Cotton,2023,11,87.2
Cotton,2023,12,149.0
Cotton,2024,1,141.3
Cotton,2024,4,16.5
Cotton,2024,7,27.2
Cotton,2024,8,251.9
Cotton,2024,10,14.0
Cotton,2024,11,71.1
Cotton,2024,12,42.8
Polyester,2020,1,187.8
Polyester,2020,2,138.3
Polyester,2020,3,2.3
Polyester,2020,4,132.9
Polyester,2020,5,126.1
Polyester,2020,6,51.6
Polyester,2020,8,200.8
Polyester,2020,9,190.5
Polyester,2020,10,30.0
Polyester,2020,11,337.4
Polyester,2021,3,41.5
Polyester,2021,4,159.2
Polyester,2021,5,81.0
Polyester,2021,7,76.5
Polyester,2021,8,163.0
Polyester,2021,9,133.9
Polyester,2021,11,55.6
Polyester,2021,12,205.0
Polyester,2022,1,330.6
Polyester,2022,2,151.8
Polyester,2022,3,136.6
Polyester,2022,4,315.2
Polyester,2022,6,151.2
Polyester,2022,7,23.4
Polyester,2022,8,92.3
Polyester,2022,9,72.5
Polyester,2022,10,303.9
Polyester,2022,11,348.4
Polyester,2022,12,269.0
Polyester,2023,1,261.2
Polyester,2023,3,154.8
Polyester,2023,4,49.1
Polyester,2023,5,102.8
Polyester,2023,6,117.0
Polyester,2023,7,163.2
Polyester,2023,10,129.1
Polyester,2023,11,172.4
Polyester,2023,12,69.7
Polyester,2024,1,180.9
Polyester,2024,2,17.0
Polyester,2024,4,144.3
Polyester,2024,5,170.3
Polyester,2024,6,5.7
Polyester,2024,7,77.3
Polyester,2024,8,96.8
Polyester,2024,9,82.3
Polyester,2024,10,71.4
Polyester,2024,11,74.0
Polyester,2024,12,173.9
