Material,Year,Month,Total Emissions (kgCO2e)
Cotton,2020,1,148.6
Cotton,2020,2,91.49
Cotton,2020,3,100.14
Cotton,2020,4,210.67
Cotton,2020,5,64.01
Cotton,2020,6,156.32
Cotton,2020,8,186.27
Cotton,2020,9,293.66
Cotton,2020,11,133.93
Cotton,2020,12,118.28
Cotton,2021,1,147.11
Cotton,2021,2,72.16
Cotton,2021,3,77.45
Cotton,2021,4,136.1
Cotton,2021,5,116.71
Cotton,2021,6,126.52
Cotton,2021,7,52.01
Cotton,2021,8,55.46
Cotton,2021,9,194.39
Cotton,2021,10,128.83
Cotton,2021,11,125.12
Cotton,2021,12,86.01
Cotton,2022,1,161.28
Cotton,2022,2,15.87
Cotton,2022,4,81.81
Cotton,2022,5,284.97
Cotton,2022,6,144.4
Cotton,2022,7,126.02
Cotton,2022,8,362.31
Cotton,2022,9,44.58
Cotton,2022,10,200.54
Cotton,2022,11,206.86
Cotton,2022,12,334.76
Cotton,2023,1,70.23
Cotton,2023,2,277.89
Cotton,2023,3,209.01
Cotton,2023,4,110.29
Cotton,2023,5,13.76
Cotton,2023,6,158.68
Cotton,2023,7,66.49
Cotton,2023,8,281.11
Cotton,2023,9,120.9
Cotton,2023,10,163.72
Cotton,2023,11,87.18
Cotton,2023,12,149.04
Cotton,2024,1,194.22
Cotton,2024,4,16.47
Cotton,2024,6,75.75
Cotton,2024,7,73.68
Cotton,2024,8,295.81
Cotton,2024,10,14.0
Cotton,2024,11,71.12
Cotton,2024,12,42.76
Polyester,2020,1,187.8
Polyester,2020,2,138.29
Polyester,2020,3,2.29
Polyester,2020,4,151.38
Polyester,2020,5,126.13
Polyester,2020,6,51.65
Polyester,2020,8,200.85
Polyester,2020,9,190.54
Polyester,2020,10,30.01
Polyester,2020,11,337.42
Polyester,2021,1,42.6
Polyester,2021,3,41.49
Polyester,2021,4,240.15
Polyester,2021,5,80.96
Polyester,2021,7,135.11
Polyester,2021,8,251.03
Polyester,2021,9,133.9
Polyester,2021,10,18.22
Polyester,2021,11,63.17
Polyester,2021,12,205.04
Polyester,2022,1,330.6
Polyester,2022,2,212.12
Polyester,2022,3,136.56
Polyester,2022,4,315.25
Polyester,2022,6,151.25
Polyester,2022,7,23.35
Polyester,2022,8,186.38
Polyester,2022,9,72.5
Polyester,2022,10,402.74
Polyester,2022,11,348.4
Polyester,2022,12,269.01
Polyester,2023,1,261.17
Polyester,2023,3,157.34
Polyester,2023,4,49.14
Polyester,2023,5,157.87
Polyester,2023,6,169.22
Polyester,2023,7,222.98
Polyester,2023,8,51.06
Polyester,2023,9,93.27
Polyester,2023,10,129.14
Polyester,2023,11,172.38
Polyester,2023,12,69.67
Polyester,2024,1,180.94
Polyester,2024,2,16.99
Polyester,2024,4,342.1
Polyester,2024,5,170.26
Polyester,2024,6,167.4
Polyester,2024,7,77.29
Polyester,2024,8,96.76
Polyester,2024,9,82.27
Polyester,2024,10,146.67
Polyester,2024,11,74.05
Polyester,2024,12,173.92
