Material,Year,Month,Total Emissions (kgCO2e)
0.0,2020.0,1.0,541.5
0.0,2020.0,2.0,495.9
0.0,2020.0,3.0,997.5
0.0,2020.0,4.0,199.5
0.0,2020.0,5.0,1214.1
0.0,2020.0,6.0,108.3
0.0,2020.0,7.0,609.9
0.0,2020.0,8.0,695.39996
0.0,2020.0,9.0,963.3
0.0,2020.0,10.0,558.6
0.0,2020.0,12.0,473.1
0.0,2021.0,3.0,547.2
0.0,2021.0,6.0,188.1
0.0,2021.0,7.0,820.8
0.0,2021.0,8.0,1846.8
0.0,2021.0,9.0,513.0
0.0,2021.0,11.0,136.8
0.0,2021.0,12.0,729.6
0.0,2022.0,3.0,410.4
0.0,2022.0,6.0,535.8
0.0,2022.0,7.0,410.4
0.0,2022.0,8.0,347.7
0.0,2022.0,9.0,592.8
0.0,2022.0,11.0,302.09998
0.0,2023.0,1.0,1048.8
0.0,2023.0,2.0,513.0
0.0,2023.0,4.0,359.1
0.0,2023.0,5.0,638.4
0.0,2023.0,7.0,1054.5
0.0,2023.0,8.0,473.1
0.0,2023.0,9.0,28.5
0.0,2023.0,10.0,820.8
0.0,2023.0,12.0,547.2
0.0,2024.0,1.0,729.6
0.0,2024.0,2.0,644.1
0.0,2024.0,3.0,1105.8
0.0,2024.0,4.0,279.3
0.0,2024.0,5.0,1299.6
0.0,2024.0,6.0,689.7
0.0,2024.0,7.0,575.7
0.0,2024.0,9.0,319.2
0.0,2024.0,10.0,28.5
0.0,2024.0,12.0,1128.6
3.0,2020.0,1.0,2134.0
3.0,2020.0,2.0,869.0
3.0,2020.0,3.0,1925.0
3.0,2020.0,4.0,1969.0
3.0,2020.0,5.0,374.0
3.0,2020.0,6.0,924.0
3.0,2020.0,7.0,1441.0
3.0,2020.0,8.0,979.0
3.0,2020.0,9.0,1089.0
3.0,2020.0,10.0,924.0
3.0,2020.0,11.0,913.0
3.0,2020.0,12.0,253.0
3.0,2021.0,1.0,990.0
3.0,2021.0,2.0,2387.0
3.0,2021.0,3.0,1111.0
3.0,2021.0,4.0,1573.0
3.0,2021.0,5.0,770.0
3.0,2021.0,6.0,847.0
3.0,2021.0,7.0,1342.0
3.0,2021.0,9.0,1716.0
3.0,2021.0,10.0,55.0
3.0,2021.0,11.0,737.0
3.0,2021.0,12.0,1463.0
3.0,2022.0,1.0,2178.0
3.0,2022.0,2.0,737.0
3.0,2022.0,3.0,704.0
3.0,2022.0,4.0,990.0
3.0,2022.0,5.0,1012.0
3.0,2022.0,6.0,1540.0
3.0,2022.0,7.0,1496.0
3.0,2022.0,8.0,1628.0
3.0,2022.0,9.0,495.0
3.0,2022.0,10.0,220.0
3.0,2022.0,11.0,968.0
3.0,2022.0,12.0,473.0
3.0,2023.0,3.0,1463.0
3.0,2023.0,4.0,781.0
3.0,2023.0,6.0,2134.0
3.0,2023.0,7.0,2475.0
3.0,2023.0,8.0,1474.0
3.0,2023.0,9.0,1012.0
3.0,2023.0,10.0,3399.0
3.0,2023.0,11.0,748.0
3.0,2023.0,12.0,2651.0
3.0,2024.0,1.0,2068.0
3.0,2024.0,2.0,418.0
3.0,2024.0,3.0,2233.0
3.0,2024.0,5.0,2794.0
3.0,2024.0,7.0,1353.0
3.0,2024.0,8.0,1848.0
3.0,2024.0,10.0,1001.0
3.0,2024.0,11.0,693.0
3.0,2024.0,12.0,429.0
